"","1","2"
"aaron",0,1
"abandoning",0,1
"abc",0,4
"abhor",0,1
"abiding",0,12
"abidingâ",0,1
"ability",0,2
"able",0,20
"abnormal",0,1
"abou",0,1
"about",0,2
"abroad",0,1
"absolute",0,3
"absolutely",0,7
"absurd",0,2
"abuse",0,3
"abusersâ",0,1
"academic",0,1
"academy",0,1
"accept",0,4
"acceptance",0,1
"access",0,13
"accessible",0,1
"accident",0,5
"accidental",0,1
"accidently",0,1
"accidents",0,6
"accomplice",0,1
"accomplish",0,2
"accomplished",0,2
"according",0,2
"account",0,5
"accounts",0,3
"accout",0,1
"accumulated",0,1
"accurate",0,1
"acess",0,1
"achieve",0,1
"achievennall",0,1
"acknowledge",0,2
"acknowledges",0,1
"acoustic",0,1
"acquire",0,4
"acquiring",0,2
"across",0,5
"acrossâ",0,1
"acrual",0,1
"act",0,21
"acting",0,4
"action",0,5
"actions",0,5
"actionâ",0,1
"active",0,13
"actively",0,2
"activist",0,1
"activity",0,2
"actors",0,5
"acts",0,4
"actual",0,7
"actually",0,72
"adam",0,2
"adamantly",0,1
"adams",0,1
"adamsâ",0,2
"adan",0,2
"add",0,9
"added",0,1
"addict",0,1
"adding",0,2
"addition",0,2
"address",0,3
"addressed",0,1
"addressing",0,1
"admit",0,6
"admitting",0,1
"adomaviäudius",0,1
"adult",0,4
"adults",0,1
"adultsnhttpenwikipediaorgwikilistofschoolshootingsintheunitedstateslistofusschoolattacksnnthis",0,1
"advance",0,3
"adverts",0,1
"advise",0,1
"advocate",0,2
"aero",0,1
"affect",0,3
"affected",0,1
"affects",0,1
"afford",0,4
"afraid",0,2
"africa",0,6
"african",0,1
"africans",0,1
"after",0,5
"afterwards",0,1
"again",0,2
"agains",0,2
"age",0,5
"agencies",0,2
"agency",0,1
"agenda",0,2
"agent",0,1
"agentschina",0,1
"agentwashingtub",0,1
"ages",0,2
"aggression",0,1
"agin",0,1
"aging",0,1
"agirlally",0,1
"ago",0,19
"agree",0,14
"agreement",0,1
"ahahahahahahah",0,1
"ahangari",0,2
"ahead",0,1
"ahh",0,2
"ahhhh",0,1
"ahhhhhhamerica",0,1
"ahlie",0,1
"ahold",0,1
"aight",0,1
"ailish",0,1
"ailments",0,1
"aim",0,6
"aiming",0,1
"aims",0,1
"aint",0,10
"air",0,1
"airplanes",0,1
"airport",0,1
"airsoft",0,1
"akbar",0,1
"akin",0,1
"aks",0,3
"akâ",0,1
"alarm",0,9
"albeit",0,3
"album",0,1
"alcohol",0,29
"alcoholic",0,1
"alcoholnban",0,1
"alcoholâ",0,1
"alerting",0,1
"alertâ",0,2
"alex",0,2
"alexander",0,1
"alice",0,3
"aliens",0,2
"align",0,1
"aligning",0,1
